iter	RMSE
0	74944.18226
1	69821.48392
2	65503.5144
3	61701.78697
4	58160.08649
5	54791.71259
6	51918.26326
7	49375.06153
8	46750.15239
9	44363.09334
10	42127.76168
11	40126.16795
12	38330.31939
13	36528.78209
14	35126.69383
15	33729.73468
16	32476.64231
17	31488.01327
18	30379.95048
19	29452.41323
20	28628.11577
21	27747.57272
22	27056.13033
23	26383.95286
24	25713.72207
25	25107.70339
26	24561.86148
27	24072.75317
28	23506.40687
29	22963.75828
30	22542.43798
31	22079.38408
32	21725.35559
33	21365.63106
34	20984.93178
35	20649.4539
36	20327.05123
37	20026.89257
38	19720.15533
39	19480.47301
40	19218.51225
41	19020.72392
42	18801.32066
43	18524.37924
44	18303.79949
45	18073.12645
46	17818.59826
47	17603.9025
48	17452.08025
49	17288.97515
50	17038.34109
51	16865.88978
52	16701.11104
53	16564.79296
54	16441.75723
55	16304.28272
56	16199.91863
57	16019.16558
58	15883.4307
59	15783.37532
60	15691.65267
61	15563.81586
62	15466.34168
63	15306.16193
64	15147.04084
65	15027.58087
66	14880.20372
67	14795.55418
68	14734.26583
69	14601.9141
70	14527.26668
71	14443.49507
72	14329.42355
73	14240.61096
74	14150.7454
75	14041.1307
76	13935.68662
77	13867.15495
78	13750.26326
79	13688.76842
80	13612.35279
81	13491.88579
82	13380.12402
83	13300.88046
84	13212.61785
85	13107.66168
86	12981.43015
87	12879.30343
88	12810.85293
89	12688.71587
90	12549.36628
91	12423.31193
92	12356.19062
93	12261.31718
94	12181.51544
95	12109.60564
96	12018.21452
97	11912.21561
98	11791.36127
99	11679.35374
