iter	Passed	Remaining
0	1	99
1	1	94
2	2	91
3	4	104
4	5	100
5	6	100
6	7	98
7	8	96
8	9	93
9	10	93
10	11	92
11	12	90
12	13	89
13	14	87
14	15	85
15	16	84
16	16	82
17	17	81
18	18	80
19	19	79
20	20	78
21	21	76
22	22	75
23	23	74
24	24	73
25	25	72
26	26	71
27	27	69
28	28	69
29	29	67
30	30	67
31	31	66
32	32	65
33	33	64
34	33	62
35	34	61
36	35	60
37	36	60
38	37	59
39	38	58
40	39	57
41	40	56
42	41	54
43	42	53
44	43	53
45	44	52
46	45	51
47	46	50
48	47	49
49	48	48
50	49	47
51	49	46
52	50	44
53	51	43
54	52	42
55	53	41
56	54	41
57	55	40
58	56	39
59	57	38
60	58	37
61	59	36
62	59	35
63	60	34
64	61	33
65	62	32
66	63	31
67	64	30
68	65	29
69	66	28
70	67	27
71	68	26
72	69	25
73	70	24
74	71	23
75	71	22
76	72	21
77	73	20
78	74	19
79	75	18
80	76	17
81	77	16
82	77	15
83	78	15
84	79	14
85	80	13
86	81	12
87	82	11
88	83	10
89	84	9
90	85	8
91	86	7
92	87	6
93	88	5
94	88	4
95	89	3
96	90	2
97	91	1
98	92	0
99	93	0
