scenario,encoder,algorithm,rmse_mean,rmse_std,r2_mean,r2_std,number_features
S1_No_Selection_No_Encoding,OneHotEncoder,Ridge,31510.71761098471,1833.4709612544289,0.8435403413686965,0.01711659627543535,79
S2_No_Selection_With_Encoding,OneHotEncoder,RandomForest,26093.506100893614,1131.0675853685389,0.892473395089724,0.012228367279340867,79
S2_No_Selection_With_Encoding,OneHotEncoder,XGBoost,24283.462077552245,1428.6320478282885,0.9066078662872314,0.013515625232877046,79
S2_No_Selection_With_Encoding,OneHotEncoder,LGBM,24763.86243885342,916.2059832587963,0.9034655877614336,0.007454368701108872,79
S2_No_Selection_With_Encoding,TargetEncoder,RandomForest,25797.64968504425,1029.337772417692,0.8948565001724827,0.012116843406920813,79
S2_No_Selection_With_Encoding,TargetEncoder,XGBoost,24629.89218482222,1644.3796086569657,0.9041545391082764,0.013108908442395338,79
S2_No_Selection_With_Encoding,TargetEncoder,LGBM,23789.613329740765,607.5313259128365,0.910967700846479,0.005200449177548847,79
S2_No_Selection_With_Encoding,CatBoostEncoder,RandomForest,28314.012384418398,1535.7333681801636,0.8748879160674182,0.013118064224865247,79
S2_No_Selection_With_Encoding,CatBoostEncoder,XGBoost,26258.436169051263,1533.9158894347054,0.8869401613871256,0.022372127626276574,79
S2_No_Selection_With_Encoding,CatBoostEncoder,LGBM,26084.810417215438,948.1818298723698,0.8960674399775387,0.009845747363504518,79
S2_No_Selection_With_Encoding,JamesSteinEncoder,RandomForest,25838.255516589226,1103.6572432825662,0.8944201455667947,0.01322140925137481,79
S2_No_Selection_With_Encoding,JamesSteinEncoder,XGBoost,24426.324219217942,1321.719008582037,0.9058360656102499,0.011011080838818518,79
S2_No_Selection_With_Encoding,JamesSteinEncoder,LGBM,23837.791357052283,473.3808933669231,0.9106097128925158,0.004793503568170009,79
S2_No_Selection_With_Encoding,GLMMEncoder,RandomForest,25743.24150940639,1184.0076390204615,0.8951022096309019,0.014059409163903773,79
S2_No_Selection_With_Encoding,GLMMEncoder,XGBoost,24531.87976473504,1843.4100308713112,0.9048702319463094,0.014151778461705717,79
S2_No_Selection_With_Encoding,GLMMEncoder,LGBM,23976.600087694696,496.0368235265893,0.9094909242688715,0.006099664823419961,79
S2_No_Selection_With_Encoding,HashingEncoder,RandomForest,26612.39716177037,1133.609012935708,0.8882027531208748,0.012244246246360566,79
S2_No_Selection_With_Encoding,HashingEncoder,XGBoost,25704.38433728313,1169.5043855841188,0.8959290186564127,0.009591183976106123,79
S2_No_Selection_With_Encoding,HashingEncoder,LGBM,25420.679715710674,461.30212477231987,0.8983815269426145,0.00459561897910481,79
S2_No_Selection_With_Encoding,BackwardDifferenceEncoder,RandomForest,26078.93310395379,1483.4061227017457,0.8924605634383603,0.014253280662706208,79
S2_No_Selection_With_Encoding,BackwardDifferenceEncoder,XGBoost,25122.064898144843,1658.863643200463,0.9003404180208842,0.013228731812498017,79
S2_No_Selection_With_Encoding,BackwardDifferenceEncoder,LGBM,24377.199293106125,616.2546401306205,0.9065514037935154,0.004810982089609839,79
S3_With_Boruta_No_Encoding,TargetEncoder,RandomForest,25981.14645832099,1389.2485737511427,0.8931003381406114,0.015100383568735519,34
S3_With_Boruta_No_Encoding,TargetEncoder,XGBoost,25249.193186623987,2025.602319774134,0.8984996875127157,0.019125465520428677,34
S3_With_Boruta_No_Encoding,TargetEncoder,LGBM,24960.109003206377,305.00182907248166,0.9018016318695617,0.007978270509889017,34
